date,open,high,low,close,volume,amount,code
2023-11-20,10.68851976,10.77796344,10.66615884,10.75560252,173724426,833340524.11,601398
2023-11-21,10.75560252,10.82268528,10.7332416,10.75560252,185578621,893722003.68,601398
2023-11-22,10.7332416,10.80032436,10.71088068,10.7332416,142623261,685928358.7,601398
2023-11-23,10.75560252,10.75560252,10.66615884,10.7332416,171301515,820169689.29,601398
2023-11-24,10.7332416,10.77796344,10.71088068,10.7332416,186232446,895099924.34,601398
2023-11-27,10.71088068,10.7332416,10.621437,10.68851976,218371003,1041992127.47,601398
2023-11-28,10.68851976,10.7332416,10.66615884,10.71088068,133351104,638025596.73,601398
2023-11-29,10.68851976,10.71088068,10.64379792,10.66615884,160800736,767506442.81,601398
2023-11-30,10.66615884,10.75560252,10.64379792,10.75560252,214640258,1027384354.74,601398
2023-12-01,10.7332416,10.80032436,10.71088068,10.75560252,250046651,1202312572.79,601398
2023-12-04,10.75560252,10.80032436,10.7332416,10.7332416,153186134,736651081.52,601398
2023-12-05,10.7332416,10.75560252,10.64379792,10.64379792,198198879,948472230.75,601398
2023-12-06,10.64379792,10.64379792,10.5096324,10.5096324,295296499,1394679540.49,601398
2023-12-07,10.5096324,10.621437,10.46491056,10.57671516,234775811,1108498603.75,601398
2023-12-08,10.59907608,10.66615884,10.55435424,10.57671516,198378401,940179673.83,601398
2023-12-11,10.55435424,10.621437,10.3978278,10.57671516,279616194,1313136708.12,601398
2023-12-12,10.55435424,10.7332416,10.5096324,10.71088068,276903714,1320664344.2,601398
2023-12-13,10.71088068,10.75560252,10.66615884,10.71088068,249030427,1194973334.24,601398
2023-12-14,10.71088068,10.75560252,10.64379792,10.66615884,152173810,727096830.64,601398
2023-12-15,10.66615884,10.71088068,10.57671516,10.57671516,195390487,929151541.5,601398
2023-12-18,10.57671516,10.7332416,10.53199332,10.66615884,238076215,1134338056.84,601398
2023-12-19,10.66615884,10.7332416,10.64379792,10.71088068,175394013,840048361.73,601398
2023-12-20,10.7332416,10.80032436,10.66615884,10.71088068,221981982,1066878030.03,601398
2023-12-21,10.68851976,10.7332416,10.57671516,10.71088068,246534466,1174701829.02,601398
2023-12-22,10.71088068,10.7332416,10.64379792,10.68851976,221855554,1060976699.02,601398
2023-12-25,10.66615884,10.75560252,10.66615884,10.7332416,109480935,524989285.93,601398
