date,open,high,low,close,volume,amount,code,return,is_extreme
2020-07-24,1675.84562849,1678.24483483,1609.86745414,1619.4642795,183088183,2504647111.34,000001,-0.037081674904531924,False
2020-07-27,1639.85753339,1641.05713656,1571.4801527,1588.27459708,188065335,2497551472.28,000001,-0.019447134935521665,False
2020-07-28,1600.27062878,1611.06705731,1581.07697806,1600.27062878,121700599,1618089558.6,000001,0.007524489978615501,False
2020-07-29,1601.47023195,1635.05912071,1584.67578757,1624.26269218,151958025,2043847472.94,000001,0.014881226996651334,False
2020-07-30,1619.4642795,1620.66388267,1603.86943829,1603.86943829,96406763,1294444933.22,000001,-0.012634876370277002,False
2020-07-31,1593.07300976,1623.06308901,1589.47420025,1600.27062878,116582191,1559068291.63,000001,-0.002246350626374193,False
2020-08-03,1615.86546999,1633.85951754,1611.06705731,1630.26070803,144509616,1954607257.49,000001,0.01856718767557459,False
2020-08-04,1638.65793022,1697.43848555,1617.06507316,1684.24285068,244566325,3388510059.27,000001,0.03257617043461267,False
2020-08-05,1657.85158094,1661.45039045,1633.85951754,1650.65396192,144020313,1980352978.34,000001,-0.020144566092467463,False
2020-08-06,1657.85158094,1674.64602532,1637.45832705,1667.4484063,135251068,1868047342.49,000001,0.010123007631448378,False
2020-08-07,1655.4523746,1667.4484063,1633.85951754,1643.4563429,98867837,1356305781.15,000001,-0.014493007302566864,False
2020-08-10,1639.85753339,1681.84364434,1633.85951754,1673.44642215,158771035,2208568316.49,000001,0.018083675433295327,False
2020-08-11,1675.84562849,1758.61824722,1675.84562849,1695.03927921,260330789,3748036828.23,000001,0.012820688429061469,False
2020-08-12,1704.63610457,1739.4245965,1697.43848555,1725.02935846,159681170,2287731088.15,000001,0.017538155596464627,False
2020-08-13,1727.4285648,1734.62618382,1696.23888238,1701.03729506,83726175,1190139725.41,000001,-0.014005831188919212,False
2020-08-14,1691.4404697,1740.62419967,1686.64205702,1735.82578699,110321582,1578543607.1,000001,0.02024501953941113,False
2020-08-17,1751.4206282,1841.39086595,1745.42261235,1822.19721523,326802784,4923669137.3,000001,0.04855977596428885,False
2020-08-18,1823.3968184,1835.3928501,1788.60832647,1817.39880255,135026107,2033477707.99,000001,-0.0026367846523033278,False
2020-08-19,1812.60038987,1841.39086595,1794.60634232,1811.4007867,142092811,2154215097.06,000001,-0.003305788134499544,False
2020-08-20,1800.60435817,1816.19919938,1743.02340601,1750.22102503,133380162,1962605013.7,000001,-0.03435838128618445,False
2020-08-21,1764.61626307,1764.61626307,1717.83173944,1733.42658065,123451733,1787278581.34,000001,-0.009641947976253033,False
2020-08-24,1739.4245965,1764.61626307,1728.62816797,1734.62618382,91944886,1338031969.4,000001,0.0006918021721774718,False
2020-08-25,1746.62221552,1762.21705673,1734.62618382,1751.4206282,74832022,1090756854.22,000001,0.009635311983672092,False
2020-08-26,1751.4206282,1752.62023137,1713.03332676,1723.82975529,73411772,1057274169.74,000001,-0.015878828623357103,False
2020-08-27,1727.4285648,1734.62618382,1692.64007287,1734.62618382,62666677,895618648.57,000001,0.00624351663968502,False
2020-08-28,1710.63412042,1820.99761206,1710.63412042,1814.99959621,241040002,3599035694.78,000001,0.045293311069645764,False
2020-08-31,1835.3928501,1880.97777056,1798.20515183,1809.00158036,179712954,2760350322.28,000001,-0.0033101652204544922,False
2020-09-01,1794.60634232,1826.99562791,1785.00951696,1816.19919938,81364258,1228342741.95,000001,0.00397088542949272,False
2020-09-02,1800.60435817,1862.98372301,1800.60435817,1837.79205644,167938297,2575966637.51,000001,0.011818916303142385,False
2020-09-03,1837.79205644,1838.99165961,1780.21110428,1787.4087233,127984159,1919266726.01,000001,-0.027797951361031754,False
2020-09-04,1767.01546941,1806.60237402,1751.4206282,1794.60634232,90988999,1353550808.28,000001,0.004018759594917655,False
2020-09-07,1785.00951696,1828.19523108,1779.01150111,1792.20713598,103137681,1551971380.96,000001,-0.0013377928416599422,False
2020-09-08,1799.404755,1850.98769131,1799.404755,1850.98769131,140760166,2154220778.29,000001,0.03227148667039819,False
2020-09-09,1830.59443742,1866.58253252,1814.99959621,1824.59642157,101357247,1554005575.35,000001,-0.014360560103867874,False
2020-09-10,1837.79205644,1856.98570716,1823.3968184,1840.19126278,95709239,1469402768.28,000001,0.00851068966790861,False
2020-09-11,1820.99761206,1835.3928501,1777.81189794,1800.60435817,95423625,1431844020.44,000001,-0.02174715029373945,False
2020-09-14,1800.60435817,1835.3928501,1789.80792964,1835.3928501,68025105,1027508108.55,000001,0.0191361827530192,False
2020-09-15,1823.3968184,1856.98570716,1817.39880255,1841.39086595,65713267,1007999044.11,000001,0.0032626456348163694,False
2020-09-16,1837.79205644,1864.18332618,1824.59642157,1852.18729448,72241475,1114667832.11,000001,0.00584607056342391,False
2020-09-17,1864.18332618,1885.77618324,1847.3888818,1867.78213569,98821563,1543414501.54,000001,0.00838444124927688,False
2020-09-18,1873.78015154,1930.16150053,1861.78411984,1927.76229419,137319330,2186759087.81,000001,0.031608193903514256,False
2020-09-21,1919.365072,1925.36308785,1884.57658007,1902.57062762,89616165,1418370973.91,000001,-0.013153963542719239,False
2020-09-22,1879.77816739,1900.17142128,1846.18927863,1867.78213569,86775631,1354536272.84,000001,-0.018454230360795038,False
2020-09-23,1870.18134203,1898.97181811,1860.58451667,1874.97975471,59920047,939763265.95,000001,0.003846158587478315,False
2020-09-24,1870.18134203,1872.58054837,1813.79999304,1813.79999304,106101124,1623376200.81,000001,-0.03317377368199832,False
2020-09-25,1823.3968184,1836.59245327,1812.60038987,1822.19721523,61408700,933035044.47,000001,0.004618945856294679,False
2020-09-28,1822.19721523,1843.79007229,1797.00554866,1836.59245327,61271111,932800766.03,000001,0.007868893061910864,False
2020-09-29,1846.18927863,1848.58848497,1770.61427892,1775.4126916,118237440,1766848544.72,000001,-0.033879028899523086,False
2020-09-30,1775.4126916,1831.79404059,1775.4126916,1819.79800889,121706482,1838547595.46,000001,0.024692612590371414,False
2020-10-09,1835.3928501,1865.38292935,1814.99959621,1820.99761206,90042593,1376995906.6,000001,0.000658978607043024,False
2020-10-12,1825.79602474,1925.36308785,1824.59642157,1907.3690403,159134715,2509002885.31,000001,0.04634033725870214,False
2020-10-13,1907.3690403,1932.56070687,1891.77419909,1926.56269102,90881948,1453986337.96,000001,0.01001259929242977,False
2020-10-14,1924.16348468,1933.76031004,1895.3730086,1922.96388151,66256236,1057937816.08,000001,-0.0018697418971541477,False
2020-10-15,1943.3571354,2029.72856364,1937.35911955,1986.54284952,160006232,2654379585.66,000001,0.032528182335651926,False
2020-10-16,1986.54284952,2083.71070629,1984.14364318,2051.3214207,209561419,3589229558.57,000001,0.032088314551500664,False
2020-10-19,2075.3134841,2171.2817377,2075.3134841,2096.90634116,201610552,3571336006.25,000001,0.021978906718775167,False
2020-10-20,2096.90634116,2111.3015792,2069.31546825,2104.10396018,96007195,1673173355.65,000001,0.0034266167166475134,False
2020-10-21,2116.09999188,2159.285706,2078.91229361,2148.48927747,124456018,2204040364.8,000001,0.020875229128583483,False
2020-10-22,2152.08808698,2219.2658645,2075.3134841,2106.50316652,189051905,3342069010.79,000001,-0.019735627865649884,False
2020-10-23,2102.90435701,2252.85475326,2102.90435701,2174.88054721,169850168,3105623948.39,000001,0.03194443655978903,False
2020-10-26,2183.2777694,2194.07419793,2093.30753165,2123.2976109,117559865,2085800598.85,000001,-0.0240033851869761,False
2020-10-27,2159.285706,2159.285706,2099.3055475,2130.49522992,103486504,1839243224.79,000001,0.003384097984240494,False
2020-10-28,2130.49522992,2147.2896743,2074.11388093,2114.90038871,120582386,2125604541.75,000001,-0.007346741154245211,False
2020-10-29,2104.10396018,2150.88848381,2081.31149995,2131.69483309,84660362,1498040947.7,000001,0.00790964575678119,False
2020-10-30,2128.09602358,2202.47142012,2111.3015792,2129.29562675,100780383,1813064343.12,000001,-0.0011261262451352473,False
2020-11-02,2117.29959505,2165.28372185,2078.91229361,2114.90038871,96845277,1702741437.95,000001,-0.006783519511646002,False
2020-11-03,2124.49721407,2200.07221378,2123.2976109,2154.48729332,95786863,1727488481.5,000001,0.0185450664642748,False
2020-11-04,2201.27181695,2216.86665816,2154.48729332,2197.67300744,124763640,2275824963.43,000001,0.01984629637193075,False
2020-11-05,2203.67102329,2219.2658645,2104.10396018,2123.2976109,142946944,2558562453.18,000001,-0.034428719666200744,False
2020-11-06,2124.49721407,2129.29562675,2065.71665874,2116.09999188,84878153,1486492208.37,000001,-0.0033955890011383833,False
2020-11-09,2119.69880139,2159.285706,2104.10396018,2140.09205528,95142432,1688807401.7,000001,0.011274076573218161,False
2020-11-10,2159.285706,2219.2658645,2150.88848381,2172.48134087,102106281,1854142808.85,000001,0.01502114474345893,False
2020-11-11,2183.2777694,2195.2738011,2111.3015792,2136.49324577,94013007,1677811478.74,000001,-0.016704174593751786,False
2020-11-12,2136.49324577,2152.08808698,2093.30753165,2118.49919822,67725848,1197284181.11,000001,-0.00845790212575649,False
2020-11-13,2089.70872214,2095.70673799,2002.13769073,2060.91824606,128918923,2191492021.21,000001,-0.027556278619704572,False
2020-11-16,2048.92221436,2090.90832531,2027.3293573,2083.71070629,75985693,1308190459.6,000001,0.01099866369690418,False
2020-11-17,2084.91030946,2150.88848381,2069.31546825,2138.89245211,85293051,1509511577.97,000001,0.02613785162203537,False
2020-11-18,2132.89443626,2219.2658645,2129.29562675,2214.46745182,137340072,2508632642.49,000001,0.03472379719965715,False
2020-11-19,2230.06229303,2276.84681666,2195.2738011,2261.25197545,121174062,2270476474.58,000001,0.020906684819313643,False
2020-11-20,2258.85276911,2278.04641983,2221.66507084,2262.45157862,67391922,1265262915.59,000001,0.0005303633112917868,False
2020-11-23,2261.25197545,2353.62141954,2255.2539596,2353.62141954,116585826,2252290578.43,000001,0.039506176931905605,False
2020-11-24,2353.62141954,2360.81903856,2299.63927689,2322.43173712,67854323,1313496136.53,000001,-0.013340372288785962,False
2020-11-25,2336.82697516,2363.2182449,2285.24403885,2286.44364202,55258501,1068352014.21,000001,-0.01561718362237488,False
2020-11-26,2285.24403885,2352.42181637,2282.84483251,2339.2261815,63965789,1240074378.13,000001,0.022822567343645194,False
2020-11-27,2399.20634,2399.20634,2324.83094346,2363.2182449,75377374,1479430635.59,000001,0.010204170174241668,False
2020-11-30,2387.2103083,2504.77141896,2350.02261003,2368.01665758,158144128,3213680470.07,000001,0.002028398261392619,False
2020-12-01,2363.2182449,2460.38610167,2327.2301498,2405.20435585,126371975,2516010782.49,000001,0.01558211974724273,False
2020-12-02,2390.80911781,2406.40395902,2341.62538784,2354.82102271,88938529,1758639187.84,000001,-0.021170145464208593,False
2020-12-03,2372.81507026,2382.41189562,2299.63927689,2344.02459418,71445230,1393085020.58,000001,-0.004595361673733038,False
2020-12-04,2335.62737199,2335.62737199,2275.64721349,2315.2341181,89134784,1707639065.1,000001,-0.012358550703796736,False
2020-12-07,2316.43372127,2326.03054663,2240.85872156,2268.44959447,87380661,1655173465.4,000001,-0.02041421324047368,False
2020-12-08,2269.64919764,2282.84483251,2222.86467401,2244.45753107,71964751,1345951734.38,000001,-0.010632742384367847,False
2020-12-09,2254.05435643,2285.24403885,2240.85872156,2244.45753107,67722115,1277484440.94,000001,0.0,False
2020-12-10,2246.85673741,2264.85078496,2213.26784865,2237.25991205,60786655,1130916254.15,000001,-0.0032119941961738663,False
2020-12-11,2244.45753107,2255.2539596,2185.67697574,2221.66507084,88779387,1642392314.27,000001,-0.0069949168717910485,False
2020-12-14,2231.2618962,2286.44364202,2219.2658645,2264.85078496,83599174,1575396008.32,000001,0.019251931499321306,False
2020-12-15,2255.2539596,2261.25197545,2177.27975355,2248.05634058,78885794,1458268620.75,000001,-0.007442883907078536,False
